gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
2.739,44,0,0,1,0,0,0,0,1,0,1,480,500,3,NA,1,0,50.099998474121094,1
NA,0,1,1,0,0,0,0,0,1,1,0,680,690,3,1,NA,0,63.31998062133789,1
3.308,17,0,0,0,0,0,0,1,0,0,0,600,610,3,0,0,1,70.029998779296875,1
NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,680,610,2,0,0,1,0,1
3.003,30,0,NA,NA,NA,NA,NA,NA,NA,1,0,710,420,2,1,NA,0,0,1
3.588,46,1,0,0,0,0,0,1,0,0,1,665,650,3,NA,1,0,73.31999969482422,1
1.908,37,0,NA,NA,NA,NA,NA,NA,NA,1,0,570,490,3,1,NA,0,83.30000305175781,1
2.776,69,1,NA,NA,NA,NA,NA,NA,NA,1,0,730,620,3,1,NA,0,75.05999755859375,1
3.753,26,0,0,0,0,0,0,1,0,1,0,580,620,3,1,NA,0,86.660003662109375,1
3.679,34,0,1,0,0,0,0,0,1,0,1,600,580,3,NA,1,0,68.32996368408203,1
1.908,20,1,0,0,0,0,0,1,0,0,1,570,620,2,NA,1,0,0,1
3.19,59,0,NA,NA,NA,NA,NA,NA,NA,0,1,610,590,3,NA,1,0,78.3290023803711,1
2.68,20,1,NA,NA,NA,NA,NA,NA,NA,0,1,560,660,2,NA,1,0,0,1
2.567,16,0,NA,NA,NA,NA,NA,NA,NA,1,0,650,600,3,1,NA,0,68.30999755859375,1
3.259,27,1,0,0,0,0,0,1,0,1,0,580,640,3,1,NA,0,75.0199966430664,1
1.94,16,1,0,0,0,0,0,1,0,1,0,610,600,3,1,NA,0,78.33000183105469,1
3.324,45,0,NA,NA,NA,NA,NA,NA,NA,0,1,670,530,3,NA,1,0,73.279998779296875,1
NA,10,0,NA,NA,NA,NA,NA,NA,NA,0,0,665,665,3,0,0,1,74.970001220703125,1
2.694,16,0,0,1,0,0,0,0,1,0,1,540,510,3,NA,1,0,70.05000305175781,1
NA,0,1,1,0,0,0,0,0,1,0,0,680,500,3,0,0,1,76.63996887207031,1
3.229,83,1,NA,NA,NA,NA,NA,NA,NA,0,1,670,630,3,NA,1,0,84.98999786376953,1
3.527,52,0,NA,NA,NA,NA,NA,NA,NA,0,1,640,620,3,NA,1,0,71.73999786376953,1
2.427,33,1,0,0,0,0,0,1,0,1,0,640,540,3,1,NA,0,88.33000183105469,1
NA,16,0,NA,NA,NA,NA,NA,NA,NA,1,0,750,490,3,1,NA,0,63.279998779296875,1
3.825,30,1,1,0,0,0,0,0,1,0,1,670,620,3,NA,1,0,91.73999786376953,1
3.052,57,1,NA,NA,NA,NA,NA,NA,NA,1,0,630,600,3,NA,1,0,0,1
NA,0,1,0,0,0,0,0,1,0,0,1,NA,510,2,NA,1,0,0,1
3.165,26,1,0,1,0,0,0,0,1,0,0,650,580,3,0,0,1,79.9800033569336,1
2.331,44,1,0,0,1,0,0,0,1,0,0,500,450,2,0,0,1,0,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,580,570,3,0,0,1,69.94000244140625,1
2.224,56,1,0,0,0,1,0,0,1,0,1,670,670,3,NA,1,0,63.27996826171875,1
4,57,1,0,0,0,0,0,1,0,0,1,510,620,3,NA,1,0,84.98999786376953,1
3.8,15,0,0,0,0,0,0,1,0,0,1,610,560,3,NA,1,0,73.30000305175781,1
2.993,14,1,0,0,0,0,0,1,0,0,0,630,580,3,0,0,1,88.33000183105469,1
3.56,43,1,NA,NA,NA,NA,NA,NA,NA,0,0,530,580,2,0,0,1,0,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,540,680,2,0,0,1,0,1
NA,0,1,0,0,0,0,0,1,0,0,0,700,590,3,0,0,1,83.29997253417969,1
3.207,14,1,0,0,0,0,0,1,0,0,1,680,560,3,NA,1,0,84.970001220703125,1
NA,44,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2,1,NA,0,0,1
3.014,14,1,NA,NA,NA,NA,NA,NA,NA,1,0,570,540,3,1,NA,0,81.6500015258789,1
3.657,14,1,0,0,0,0,0,1,0,0,0,630,680,3,0,0,1,83.30000305175781,1
NA,6,1,1,0,0,0,0,0,1,0,0,640,590,3,0,0,1,89.99993896484375,1
3.667,67,0,0,0,0,1,0,0,1,1,0,620,580,3,1,NA,0,79.93995666503906,1
2.736,22,1,1,0,0,0,0,0,1,0,0,680,560,3,0,0,1,78.29000091552734,1
4,17,0,0,0,0,0,0,1,0,0,1,665,800,3,NA,1,0,86.63999938964844,1
3.653,24,1,NA,NA,NA,NA,NA,NA,NA,0,0,650,690,3,0,0,1,91.66999816894531,1
3.74,22,0,0,0,0,0,0,1,0,0,1,500,670,3,NA,1,0,76.75,1
3.305,22,0,0,1,0,0,0,0,1,0,1,600,510,3,NA,1,0,73.279998779296875,1
2.62,15,1,0,0,0,0,0,1,0,0,0,650,570,3,0,0,1,70.029998779296875,1
3.118,44,1,0,0,0,0,0,1,0,1,0,700,650,2,1,NA,0,0,1
3.077,30,1,NA,NA,NA,NA,NA,NA,NA,0,0,640,530,3,0,0,1,83.31999969482422,1
3.931,36,1,0,0,0,0,0,1,0,0,1,700,560,3,NA,1,0,90,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,3,NA,1,0,83.31999969482422,1
3.759,43,1,0,0,0,0,0,1,0,0,0,670,650,3,0,0,1,83.30000305175781,1
2.531,31,1,0,0,0,0,0,1,0,0,1,600,570,3,NA,1,0,78.30999755859375,1
2.861,32,0,0,0,0,0,0,1,0,1,0,530,560,2,1,NA,0,0,1
3.2,43,0,0,0,0,0,0,1,0,0,0,570,490,2,0,0,1,0,1
